client;date;flg_eletricidade_ativo;flg_gas_ativo;flg_easy_ativo;flg_smart_ativo;flg_full_ativo;potencia_contratada;qtd_os_packs;qtd_os_packs_abertas;qtd_os_excl_packs;qtd_os_excl_packs_abertas;qtd_pi;qtd_pi_aberto;qtd_po;qtd_po_aberto;qtd_rec_aberto;eletricidade_yrsrecensy;gas_yrsrecensy;contract_days;escalao_consumo;flg_deb_direto;flg_fatura_eletronica;divida_total;churn_label
2347;01/02/2022;1;0;0;0;1;3.45;3;3;6;0;1;0;8;0;0;2.484;null;27;null;0;0;0;0
2380;01/09/2021;1;0;0;1;0;3.45;0;0;0;0;0;0;3;0;0;1.925;null;701;null;0;0;38.69;0
2403;01/03/2021;1;0;0;1;0;6.9;2;0;0;0;1;0;4;0;0;1.465;null;455;null;1;0;204.49;0
2584;01/12/2021;1;1;0;1;0;3.45;4;2;1;0;7;0;6;0;0;1.817;1.801;663;1;0;1;0;0
2594;01/10/2020;1;1;0;0;1;6.9;1;0;0;0;3;0;7;0;0;0.882;0.903;327;1;1;0;0;0
2598;01/02/2021;1;0;0;1;0;3.45;2;0;0;0;0;0;1;0;0;1.231;null;451;null;1;1;0;0
2704;01/06/2021;1;0;0;0;1;4.6;2;2;0;0;2;0;28;0;0;1.492;null;544;null;0;1;14.58;0
2966;01/02/2021;1;1;0;1;0;6.9;4;3;0;0;0;0;5;0;0;1.005;0.941;368;1;1;1;24.57;0
3003;01/12/2021;1;1;0;0;1;5.75;4;0;1;0;2;0;10;0;0;1.82;1.809;635;1;0;1;0;0
3075;01/10/2021;0;0;0;1;0;null;3;0;1;0;7;0;11;0;0;1.581;null;505;null;0;0;135.47;0
3155;01/08/2021;1;1;0;0;1;5.75;4;2;0;0;0;0;5;0;0;1.406;1.384;514;2;1;1;0;0
3179;01/01/2022;1;0;0;0;1;3.45;4;2;0;0;0;0;8;0;0;1.753;null;325;null;1;0;0;0
3187;01/01/2021;1;0;0;1;0;6.9;0;0;0;0;4;0;13;0;0;0.806;null;296;null;1;1;55.15;0
3195;01/11/2020;1;0;0;1;0;3.45;0;0;0;0;0;0;4;0;0;0.642;null;94;null;1;1;56.35;0
3359;01/11/2020;1;0;0;1;0;6.9;0;0;0;0;0;0;3;0;0;0.449;null;164;null;1;1;0;0
3421;01/10/2021;1;0;0;0;1;3.45;2;2;0;0;0;0;3;0;0;1.339;null;161;null;1;1;49.57;0
3670;01/02/2021;1;1;0;0;1;6.9;1;0;1;0;0;0;10;0;0;0.546;0.188;201;1;0;1;175.13;0
3863;01/06/2021;1;1;0;0;1;6.9;0;0;0;0;2;0;2;0;0;0.653;0.753;274;1;1;1;94.93;0
3908;01/01/2022;1;1;0;1;0;4.6;4;1;1;0;2;0;2;0;0;1.298;1.325;484;2;1;1;0;0
4003;01/10/2021;1;0;0;1;0;3.45;4;2;1;0;1;0;8;0;0;1.062;null;261;null;1;1;0;0
4031;01/03/2021;1;0;0;0;1;3.45;0;0;0;0;2;0;4;0;0;0.454;null;163;null;1;1;43.66;0
4066;01/08/2021;0;1;0;1;0;null;1;0;2;0;2;0;6;0;0;0.874;0.876;319;null;0;0;288.76;1
4150;01/08/2021;0;1;0;1;0;null;0;0;1;0;1;0;6;0;0;0.831;0.79;303;1;0;0;31.46;0
4155;01/02/2021;1;0;0;1;0;3.45;1;0;0;0;0;0;4;0;0;0.32;null;117;null;1;0;31.36;0
4175;01/02/2022;1;1;0;0;1;20.7;5;5;0;0;5;0;4;1;0;1.317;1.32;33;4;0;0;1219.02;0
4206;01/11/2021;1;0;0;1;0;4.6;2;2;1;0;1;0;2;0;0;1.048;null;381;null;0;0;0;0
4250;01/08/2021;1;1;0;0;1;3.45;2;0;0;0;0;0;19;0;0;0.78;0.739;284;1;1;1;12.9;0
4267;01/01/2021;1;1;0;1;0;3.45;1;0;0;0;1;0;4;0;0;0.194;0.169;70;1;1;1;97.07;0
